"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,272833,"Avondale Melbourne Heights","KY","Louisville/Jefferson County","Jefferson","Louisville",3788,161100,-0.00185873605947955,-0.0110497237569061,0.0495114006514658,0.0393922949936882,0.0188175403052346,"2017-02","2017-Q1",162900,-0.0110497237569061,"2016-12"
2017-05-31,343592,"Meadowood","WI","Madison","Dane","Madison",3789,202300,0.00347222222222222,0.0191435768261965,0.0929227444624527,0.0462090451842474,0.00608087609791208,"2017-05","2017-Q2",202300,0,"2017-05"
2017-05-31,274829,"Oak Flower","AZ","Tucson","Pima","Tucson",3790,125600,0.0253061224489796,0.0572390572390572,0.130513051305131,0.090618968638448,-0.0240993400214617,"2006-05","2006-Q2",163700,-0.232742822235797,"2005-03"
2017-05-31,270112,"Field","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3791,286400,0.0105857445306987,0.0217623974313236,0.103235747303544,0.0764004550670405,0.0176203735230209,"2017-05","2017-Q2",286400,0,"2017-05"
2017-05-31,148091,"Holiday Hills","KY","Lexington","Fayette","Lexington",3792,110300,0.0119266055045872,0.0386064030131827,0.106318956870612,0.0342652186396473,0.00351204694605123,"2005-09","2005-Q3",111100,-0.0072007200720072,"2005-09"
2017-05-31,415977,"Livingston - McNaughten","OH","Columbus","Franklin","Columbus",3793,58900,-0.00674536256323777,-0.0530546623794212,0.00683760683760684,0.010149035617391,-0.0283170913495053,"2007-03","2007-Q1",79200,-0.256313131313131,"1999-01"
2017-05-31,242681,"Colonial Village","VA","Washington","Arlington","Arlington",3794,336400,-0.00325925925925926,-0.0175233644859813,0.026235509456986,0.0241256340553386,0.00788169994078114,"2016-12","2016-Q4",344300,-0.0229451060121987,"2016-10"
2017-05-31,343606,"Ventura","CA","San Jose","Santa Clara","Palo Alto",3795,1916400,0.0184407716426635,0.0201213669754072,0.0160110274626233,0.116918573054312,0.0734089713403452,"2015-12","2015-Q4",1940400,-0.0123685837971552,"2015-11"
2017-05-31,275598,"Strawberry Manor","CA","Sacramento","Sacramento","Sacramento",3796,212800,0.0023551577955723,0.0235690235690236,0.171806167400881,0.186491438791064,-0.0148727879025613,"2006-01","2006-Q1",285200,-0.253856942496494,"2004-09"
2017-05-31,273581,"Eastover","NC","Charlotte","Mecklenburg","Charlotte",3797,1091700,0.00803324099722992,0.00654619214456943,0.112050524600183,0.0715371668501175,0.0215243024179115,"2017-05","2017-Q2",1091700,0,"2017-05"
2017-05-31,417079,"Kern City","CA","Bakersfield","Kern","Bakersfield",3798,180600,0.00166389351081531,0.0100671140939597,0.0220713073005093,0.0828576998872401,-0.0277510008791982,"2006-05","2006-Q2",284300,-0.364755539922617,"2004-08"
2017-05-31,225359,"Bordeaux","TN","Nashville","Davidson","Nashville",3799,128800,-0.00463678516228748,0.0157728706624606,0.255360623781676,0.130347786212477,0.031014955557974,"2017-04","2017-Q2",129400,-0.00463678516228748,"2017-03"
2017-05-31,273712,"Federal Hill","MD","Baltimore","Baltimore City","Baltimore",3800,322700,-0.0113357843137255,-0.0092109303039607,0.0426494345718901,0.0331847468883002,-0.00683244576370812,"2007-02","2007-Q1",347600,-0.0716340621403913,"2005-08"
